Статус,Количество
"('Active',)",35
"('Final',)",336
"('Accepted',)",21
"('Draft',)",42
"('Deferred',)",38
"('Withdrawn',)",68
"('Rejected',)",126
"('Superseded',)",25
"('April Fool!',)",1
"('Provisional',)",1
Total,693
