number,name,status
648,PEP 648 – Extensible customizations of the interpreter at startup,Unknown
631,PEP 631 – Dependency specification in pyproject.toml based on PEP 508,Unknown
3130,PEP 3130 – Access to Current Module/Class/Function,Unknown
8013,PEP 8013 – The External Council Governance Model,Unknown
3146,PEP 3146 – Merging Unladen Swallow into CPython,Unknown
8010,PEP 8010 – The Technical Leader Governance Model,Unknown
8011,PEP 8011 – Python Governance Model Lead by Trio of Pythonistas,Unknown
8012,PEP 8012 – The Community Governance Model,Unknown
8015,PEP 8015 – Organization of the Python community,Unknown
8014,PEP 8014 – The Commons Governance Model,Unknown
3153,PEP 3153 – Asynchronous IO support,Unknown
3152,PEP 3152 – Cofunctions,Unknown
3145,PEP 3145 – Asynchronous I/O For subprocess.Popen,Unknown
3140,"PEP 3140 – str(container) should call str(item), not repr(item)",Unknown
3139,PEP 3139 – Cleaning out sys and the “interpreter” module,Unknown
3136,PEP 3136 – Labeled break and continue,Unknown
3128,PEP 3128 – BList: A Faster List-like Type,Unknown
3133,PEP 3133 – Introducing Roles,Unknown
3142,PEP 3142 – Add a “while” clause to generator expressions,Unknown
3126,PEP 3126 – Remove Implicit String Concatenation,Unknown
3125,PEP 3125 – Remove Backslash Continuation,Unknown
3117,PEP 3117 – Postfix type declarations,Unknown
760,PEP 760 – No More Bare Excepts,Unknown
2026,PEP 2026 – Calendar versioning for Python,Unknown
3103,PEP 3103 – A Switch/Case Statement,Unknown
3122,PEP 3122 – Delineation of the main module,Unknown
3001,PEP 3001 – Procedure for reviewing and improving standard library modules,Unknown
769,"PEP 769 – Add a ‘default’ keyword argument to ‘attrgetter’, ‘itemgetter’ and ‘getitem’",Unknown
775,PEP 775 – Make zlib required to build CPython,Unknown
759,PEP 759 – External Wheel Hosting,Unknown
756,PEP 756 – Add PyUnicode_Export() and PyUnicode_Import() C functions,Unknown
736,PEP 736 – Shorthand syntax for keyword arguments at invocation,Unknown
722,PEP 722 – Dependency specification for single-file scripts,Unknown
754,PEP 754 – IEEE 754 Floating Point Special Values,Unknown
727,PEP 727 – Documentation in Annotated Metadata,Unknown
726,PEP 726 – Module ,Unknown
724,PEP 724 – Stricter Type Guards,Unknown
713,PEP 713 – Callable Modules,Unknown
712,PEP 712 – Adding a “converter” parameter to dataclasses.field,Unknown
707,PEP 707 – A simplified signature for __exit__ and __aexit__,Unknown
704,PEP 704 – Require virtual environments by default for package installers,Unknown
677,PEP 677 – Callable Type Syntax,Unknown
665,PEP 665 – A file format to list Python dependencies for reproducibility of an application,Unknown
666,PEP 666 – Reject Foolish Indentation,Unknown
690,PEP 690 – Lazy Imports,Unknown
663,"PEP 663 – Standardizing Enum str(), repr(), and format() behaviors",Unknown
662,PEP 662 – Editable installs via virtual wheels,Unknown
651,PEP 651 – Robust Stack Overflow Handling,Unknown
645,PEP 645 – Allow writing optional types as ,Unknown
642,PEP 642 – Explicit Pattern Syntax for Structural Pattern Matching,Unknown
641,PEP 641 – Using an underscore in the version portion of Python 3.10 compatibility tags,Unknown
611,PEP 611 – The one million limit,Unknown
620,PEP 620 – Hide implementation details from the C API,Unknown
608,PEP 608 – Coordinated Python release,Unknown
622,PEP 622 – Structural Pattern Matching,Unknown
601,PEP 601 – Forbid return/break/continue breaking out of finally,Unknown
598,PEP 598 – Introducing incremental feature releases,Unknown
599,PEP 599 – The manylinux2014 Platform Tag,Unknown
595,PEP 595 – Improving bugs.python.org,Unknown
583,PEP 583 – A Concurrency Memory Model for Python,Unknown
580,PEP 580 – The C call protocol,Unknown
582,PEP 582 – Python local packages directory,Unknown
577,PEP 577 – Augmented Assignment Expressions,Unknown
576,PEP 576 – Rationalize Built-in function classes,Unknown
571,PEP 571 – The manylinux2010 Platform Tag,Unknown
575,PEP 575 – Unifying function/method classes,Unknown
563,PEP 563 – Postponed Evaluation of Annotations,Unknown
554,PEP 554 – Multiple Interpreters in the Stdlib,Unknown
559,PEP 559 – Built-in noop(),Unknown
555,PEP 555 – Context-local variables (contextvars),Unknown
558,PEP 558 – Defined semantics for locals(),Unknown
551,PEP 551 – Security transparency in the Python runtime,Unknown
550,PEP 550 – Execution Context,Unknown
549,PEP 549 – Instance Descriptors,Unknown
546,PEP 546 – Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Unknown
542,PEP 542 – Dot Notation Assignment In Function Header,Unknown
522,PEP 522 – Allow BlockingIOError in security sensitive APIs,Unknown
548,PEP 548 – More Flexible Loop Control,Unknown
536,PEP 536 – Final Grammar for Literal String Interpolation,Unknown
543,PEP 543 – A Unified TLS API for Python,Unknown
521,PEP 521 – Managing global context via ‘with’ blocks in generators and coroutines,Unknown
531,PEP 531 – Existence checking operators,Unknown
513,PEP 513 – A Platform Tag for Portable Linux Built Distributions,Unknown
516,PEP 516 – Build system abstraction for pip/conda etc,Unknown
509,PEP 509 – Add a private version to dict,Unknown
473,PEP 473 – Adding structured data to built-in exceptions,Unknown
497,PEP 497 – A standard mechanism for backward compatibility,Unknown
474,PEP 474 – Creating forge.python.org,Unknown
507,PEP 507 – Migrate CPython to Git and GitLab,Unknown
496,PEP 496 – Environment Markers,Unknown
472,PEP 472 – Support for indexing with keyword arguments,Unknown
469,PEP 469 – Migration of dict iteration code to Python 3,Unknown
462,PEP 462 – Core development workflow automation for CPython,Unknown
439,PEP 439 – Inclusion of implicit pip bootstrap in Python installation,Unknown
463,PEP 463 – Exception-catching expressions,Unknown
455,PEP 455 – Adding a key-transforming dictionary to collections,Unknown
459,PEP 459 – Standard Metadata Extensions for Python Software Packages,Unknown
460,PEP 460 – Add binary interpolation and formatting,Unknown
437,"PEP 437 – A DSL for specifying signatures, annotations and argument converters",Unknown
433,PEP 433 – Easier suppression of file descriptor inheritance,Unknown
432,PEP 432 – Restructuring the CPython startup sequence,Unknown
431,PEP 431 – Time zone support improvements,Unknown
411,PEP 411 – Provisional packages in the Python standard library,Unknown
413,PEP 413 – Faster evolution of the Python Standard Library,Unknown
426,PEP 426 – Metadata for Python Software Packages 2.0,Unknown
410,PEP 410 – Use decimal.Decimal type for timestamps,Unknown
422,PEP 422 – Simpler customisation of class creation,Unknown
416,PEP 416 – Add a frozendict builtin type,Unknown
408,PEP 408 – Standard library __preview__ package,Unknown
406,PEP 406 – Improved Encapsulation of Import State,Unknown
401,PEP 401 – BDFL Retirement,Unknown
402,PEP 402 – Simplified Package Layout and Partitioning,Unknown
390,PEP 390 – Static metadata for Distutils,Unknown
395,PEP 395 – Qualified Names for Modules,Unknown
396,PEP 396 – Module Version Numbers,Unknown
381,PEP 381 – Mirroring infrastructure for PyPI,Unknown
379,PEP 379 – Adding an Assignment Expression,Unknown
363,PEP 363 – Syntax For Dynamic Attribute Access,Unknown
377,PEP 377 – Allow __enter__() methods to skip the statement body,Unknown
359,PEP 359 – The “make” Statement,Unknown
351,PEP 351 – The freeze protocol,Unknown
348,PEP 348 – Exception Reorganization for Python 3.0,Unknown
349,PEP 349 – Allow str() to return unicode strings,Unknown
350,PEP 350 – Codetags,Unknown
346,PEP 346 – User Defined (”,Unknown
344,PEP 344 – Exception Chaining and Embedded Tracebacks,Unknown
339,PEP 339 – Design of the CPython Compiler,Unknown
345,PEP 345 – Metadata for Python Software Packages 1.2,Unknown
340,PEP 340 – Anonymous Block Statements,Unknown
335,PEP 335 – Overloadable Boolean Operators,Unknown
336,PEP 336 – Make None Callable,Unknown
334,PEP 334 – Simple Coroutines via SuspendIteration,Unknown
332,PEP 332 – Byte vectors and String/Unicode Unification,Unknown
329,PEP 329 – Treating Builtins as Constants in the Standard Library,Unknown
330,PEP 330 – Python Bytecode Verification,Unknown
